HBase Shell; enter 'help<RETURN>' for list of supported commands.
Type "exit<RETURN>" to leave the HBase Shell
Version 0.98.6-cdh5.3.2, rUnknown, Tue Feb 24 12:56:59 PST 2015

scan 'Busdata', {STARTROW=>'1452398400', ENDROW=>'1452400200', FILTER => "SingleColumnValueFilter('info','lineRef',=,'binary:2')"}
ROW  COLUMN+CELL
 1452399963:22003150210630 column=info:bearing, timestamp=1452400022981, value=191.0
 1452399963:22003150210630 column=info:dateFrameRef, timestamp=1452400022981, value=2016-01-10
 1452399963:22003150210630 column=info:delay, timestamp=1452400022981, value=0
 1452399963:22003150210630 column=info:destinationShortName, timestamp=1452400022981, value=5021
 1452399963:22003150210630 column=info:directionRef, timestamp=1452400022981, value=2
 1452399963:22003150210630 column=info:journeyPatternRef, timestamp=1452400022981, value=2
 1452399963:22003150210630 column=info:latitude, timestamp=1452400022981, value=61.4977400
 1452399963:22003150210630 column=info:lineRef, timestamp=1452400022981, value=2
 1452399963:22003150210630 column=info:longitude, timestamp=1452400022981, value=23.7410973
 1452399963:22003150210630 column=info:operatorRef, timestamp=1452400022981, value=LL
 1452399963:22003150210630 column=info:originAimedDepartureTime, timestamp=1452400022981, value=0630
 1452399963:22003150210630 column=info:originShortName, timestamp=1452400022981, value=0031
 1452399963:22003150210630 column=info:speed, timestamp=1452400022981, value=18.0
 1452399963:22003150210630 column=info:time, timestamp=1452400022981, value=2016-01-10T06:26:03.010+02:00
 1452399963:22003150210630 column=info:timeAPI, timestamp=1452400022981, value=1452399963
 1452399963:22003150210630 column=info:timeStorage, timestamp=1452400022981, value=1452400022
 1452399963:22003150210630 column=info:vehicleRef, timestamp=1452400022981, value=
 1452399966:22003150210630 column=info:bearing, timestamp=1452399966992, value=181.0
 1452399966:22003150210630 column=info:dateFrameRef, timestamp=1452399966992, value=2016-01-10
 1452399966:22003150210630 column=info:delay, timestamp=1452399966992, value=0
 1452399966:22003150210630 column=info:destinationShortName, timestamp=1452399966992, value=5021
 1452399966:22003150210630 column=info:directionRef, timestamp=1452399966992, value=2
 1452399966:22003150210630 column=info:journeyPatternRef, timestamp=1452399966992, value=2
 1452399966:22003150210630 column=info:latitude, timestamp=1452399966992, value=61.4976055
 1452399966:22003150210630 column=info:lineRef, timestamp=1452399966992, value=2
 1452399966:22003150210630 column=info:longitude, timestamp=1452399966992, value=23.7410720
 1452399966:22003150210630 column=info:operatorRef, timestamp=1452399966992, value=LL
 1452399966:22003150210630 column=info:originAimedDepartureTime, timestamp=1452399966992, value=0630
 1452399966:22003150210630 column=info:originShortName, timestamp=1452399966992, value=0031
 1452399966:22003150210630 column=info:speed, timestamp=1452399966992, value=14.4
 1452399966:22003150210630 column=info:time, timestamp=1452399966992, value=2016-01-10T06:26:06.012+02:00
 1452399966:22003150210630 column=info:timeAPI, timestamp=1452399966992, value=1452399966
 1452399966:22003150210630 column=info:timeStorage, timestamp=1452399966992, value=1452399966
 1452399966:22003150210630 column=info:vehicleRef, timestamp=1452399966992, value=LL_15
 1452399967:22003150210630 column=info:bearing, timestamp=1452399967980, value=170.0
 1452399967:22003150210630 column=info:dateFrameRef, timestamp=1452399967980, value=2016-01-10
 1452399967:22003150210630 column=info:delay, timestamp=1452399967980, value=0
 1452399967:22003150210630 column=info:destinationShortName, timestamp=1452399967980, value=5021
 1452399967:22003150210630 column=info:directionRef, timestamp=1452399967980, value=2
 1452399967:22003150210630 column=info:journeyPatternRef, timestamp=1452399967980, value=2
 1452399967:22003150210630 column=info:latitude, timestamp=1452399967980, value=61.4975662
 1452399967:22003150210630 column=info:lineRef, timestamp=1452399967980, value=2
 1452399967:22003150210630 column=info:longitude, timestamp=1452399967980, value=23.7410797
 1452399967:22003150210630 column=info:operatorRef, timestamp=1452399967980, value=LL
 1452399967:22003150210630 column=info:originAimedDepartureTime, timestamp=1452399967980, value=0630
 1452399967:22003150210630 column=info:originShortName, timestamp=1452399967980, value=0031
 1452399967:22003150210630 column=info:speed, timestamp=1452399967980, value=14.4
 1452399967:22003150210630 column=info:time, timestamp=1452399967980, value=2016-01-10T06:26:07.013+02:00
 1452399967:22003150210630 column=info:timeAPI, timestamp=1452399967980, value=1452399967
 1452399967:22003150210630 column=info:timeStorage, timestamp=1452399967980, value=1452399967
 1452399967:22003150210630 column=info:vehicleRef, timestamp=1452399967980, value=LL_15
 1452399968:22003150210630 column=info:bearing, timestamp=1452399968990, value=156.0
 1452399968:22003150210630 column=info:dateFrameRef, timestamp=1452399968990, value=2016-01-10
 1452399968:22003150210630 column=info:delay, timestamp=1452399968990, value=0
 1452399968:22003150210630 column=info:destinationShortName, timestamp=1452399968990, value=5021
 1452399968:22003150210630 column=info:directionRef, timestamp=1452399968990, value=2
 1452399968:22003150210630 column=info:journeyPatternRef, timestamp=1452399968990, value=2
 1452399968:22003150210630 column=info:latitude, timestamp=1452399968990, value=61.4975320
 1452399968:22003150210630 column=info:lineRef, timestamp=1452399968990, value=2
 1452399968:22003150210630 column=info:longitude, timestamp=1452399968990, value=23.7411055
 1452399968:22003150210630 column=info:operatorRef, timestamp=1452399968990, value=LL
 1452399968:22003150210630 column=info:originAimedDepartureTime, timestamp=1452399968990, value=0630
 1452399968:22003150210630 column=info:originShortName, timestamp=1452399968990, value=0031
 1452399968:22003150210630 column=info:speed, timestamp=1452399968990, value=14.4
 1452399968:22003150210630 column=info:time, timestamp=1452399968990, value=2016-01-10T06:26:08.013+02:00
 1452399968:22003150210630 column=info:timeAPI, timestamp=1452399968990, value=1452399968
 1452399968:22003150210630 column=info:timeStorage, timestamp=1452399968990, value=1452399968
 1452399968:22003150210630 column=info:vehicleRef, timestamp=1452399968990, value=LL_15
 1452399969:22003150210630 column=info:bearing, timestamp=1452399969980, value=140.0
 1452399969:22003150210630 column=info:dateFrameRef, timestamp=1452399969980, value=2016-01-10
 1452399969:22003150210630 column=info:delay, timestamp=1452399969980, value=0
 1452399969:22003150210630 column=info:destinationShortName, timestamp=1452399969980, value=5021
 1452399969:22003150210630 column=info:directionRef, timestamp=1452399969980, value=2
 1452399969:22003150210630 column=info:journeyPatternRef, timestamp=1452399969980, value=2
 1452399969:22003150210630 column=info:latitude, timestamp=1452399969980, value=61.4975043
 1452399969:22003150210630 column=info:lineRef, timestamp=1452399969980, value=2
 1452399969:22003150210630 column=info:longitude, timestamp=1452399969980, value=23.7411467
 1452399969:22003150210630 column=info:operatorRef, timestamp=1452399969980, value=LL
 1452399969:22003150210630 column=info:originAimedDepartureTime, timestamp=1452399969980, value=0630
 1452399969:22003150210630 column=info:originShortName, timestamp=1452399969980, value=0031
 1452399969:22003150210630 column=info:speed, timestamp=1452399969980, value=14.4
 1452399969:22003150210630 column=info:time, timestamp=1452399969980, value=2016-01-10T06:26:09.013+02:00
 1452399969:22003150210630 column=info:timeAPI, timestamp=1452399969980, value=1452399969
 1452399969:22003150210630 column=info:timeStorage, timestamp=1452399969980, value=1452399969
 1452399969:22003150210630 column=info:vehicleRef, timestamp=1452399969980, value=LL_15
 1452399970:22003150210630 column=info:bearing, timestamp=1452399970976, value=106.0
 1452399970:22003150210630 column=info:dateFrameRef, timestamp=1452399970976, value=2016-01-10
 1452399970:22003150210630 column=info:delay, timestamp=1452399970976, value=0
